Year,Country of asylum,Country of asylum (ISO),Refugees under UNHCR mandate,Asylum seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
2023,Zambia,ZMB,66513,4317,0,0,0,0,17203
2023,Israel,ISR,1221,25453,0,0,35,0,41688
2023,North Macedonia,MKD,8252,32,0,0,369,0,5
2023,Angola,AGO,24983,28294,0,0,0,0,2748
2023,Botswana,BWA,754,97,0,0,0,0,71
2023,Central African Rep.,CAF,11322,44571,485825,0,0,0,0
2023,Cameroon,CMR,469277,8554,1027295,0,0,0,1035
2023,Congo,COG,42172,19069,0,0,0,0,10311
2023,Dem. Rep. of the Congo,COD,520073,3449,5969254,0,0,0,0
2023,Costa Rica,CRI,15611,195463,0,18900,287,3051,194264
2023,Mozambique,MOZ,5331,27389,834304,0,0,0,660
2023,Namibia,NAM,4895,2242,0,0,0,0,85
2023,Eswatini,SWZ,1180,1419,0,0,0,0,12
2023,Zimbabwe,ZWE,10181,11986,0,0,0,0,972
2023,Bahrain,BHR,255,122,0,0,0,0,0
2023,Ethiopia,ETH,921822,4038,2123435,0,0,1038257,610
2023,Cote d'Ivoire,CIV,2293,19009,0,0,931041,0,63
2023,Qatar,QAT,193,140,0,0,1200,0,0
2023,Somalia,SOM,16736,19262,3860099,0,0,0,176
2023,Yemen,YEM,57449,14003,4523022,0,0,0,15
2023,Bolivia (Plurinational State of),BOL,1116,61,0,15428,0,13666,0
2023,Guatemala,GTM,788,1863,0,0,0,406161,121331
2023,Montenegro,MNE,40597,146,0,0,485,0,329
2023,Burundi,BDI,84187,3013,8177,0,783,0,1482
2023,Burkina Faso,BFA,36226,558,2062534,0,0,0,0
2023,Chad,TCD,762731,5392,381289,0,0,0,139651
2023,Gabon,GAB,205,76,0,0,0,0,0
2023,Guinea,GIN,2201,54,0,0,0,0,0
2023,Mali,MLI,63999,894,375539,0,0,0,0
2023,Malawi,MWI,34972,16494,0,0,0,0,5
2023,Senegal,SEN,11821,285,0,0,0,0,0
2023,South Sudan,SSD,314883,2606,1490064,0,1300,454831,86
2023,United Rep. of Tanzania,TZA,203605,38643,0,0,0,0,12332
2023,Togo,TGO,18846,13900,0,0,0,0,0
2023,Algeria,DZA,99389,3750,0,0,0,0,0
2023,Mauritania,MRT,103441,4758,0,0,0,0,0
